Method,Language,Score,Metric
Girrbach (2023),ruc,0.941,Alignment
PolyGloss [multitask],ruc,0.941,Alignment
PolyGloss [concat],ruc,0.973,Alignment
PolyGloss [interleaved],ruc,1.0,Alignment
GRPO,git,0.574,Glossing MER
GRPO,git,0.610,Segmentation F1
GRPO,git,0.975,Alignment
PolyGloss [qwen],arp,0.453,Glossing MER
PolyGloss [qwen],ddo,0.626,Glossing MER
PolyGloss [qwen],git,0.902,Glossing MER
PolyGloss [qwen],usp,0.418,Glossing MER
PolyGloss [qwen],ain,0.480,Glossing MER
PolyGloss [qwen],lez,0.872,Glossing MER
PolyGloss [qwen],ntu,0.739,Glossing MER
PolyGloss [qwen],nyb,0.912,Glossing MER
PolyGloss [qwen],ruc,0.835,Glossing MER
PolyGloss [qwen],arp,0.658,Segmentation F1
PolyGloss [qwen],ddo,0.610,Segmentation F1
PolyGloss [qwen],git,0.235,Segmentation F1
PolyGloss [qwen],usp,0.663,Segmentation F1
PolyGloss [qwen],ain,0.754,Segmentation F1
PolyGloss [qwen],lez,0.485,Segmentation F1
PolyGloss [qwen],ntu,0.554,Segmentation F1
PolyGloss [qwen],nyb,0.656,Segmentation F1
PolyGloss [qwen],ruc,0.375,Segmentation F1
PolyGloss [qwen],arp,0.999,Alignment
PolyGloss [qwen],ddo,0.999,Alignment
PolyGloss [qwen],git,0.996,Alignment
PolyGloss [qwen],usp,0.999,Alignment
PolyGloss [qwen],ain,1.000,Alignment
PolyGloss [qwen],lez,0.988,Alignment
PolyGloss [qwen],ntu,1.000,Alignment
PolyGloss [qwen],nyb,0.997,Alignment
PolyGloss [qwen],ruc,1.000,Alignment
